team,slug,group,confederation,fifa_rank,elo,attack_avg,defense_avg,host,form,injury_impact,squad_depth,avg_age,wc_experience,set_piece_off,set_piece_def,pressure_rating,coach_rating,fatigue
Mexico,mexico,A,CONCACAF,15,1830,1.6,1.1,1,0.30,0.05,6,27.0,17,6,6,5,7,0.20
South Africa,south-africa,A,CAF,60,1700,1.2,1.4,0,0.40,0.00,4,27.0,3,5,5,5,6,0.15
South Korea,south-korea,A,AFC,25,1790,1.4,1.2,0,0.40,0.10,6,27.0,11,5,6,7,7,0.25
Czechia,czechia,A,UEFA,41,1760,1.3,1.2,0,0.30,0.05,5,27.5,9,6,6,6,6,0.20
Canada,canada,B,CONCACAF,30,1750,1.5,1.2,1,0.40,0.25,5,25.5,3,6,5,5,7,0.20
Bosnia & Herzegovina,bosnia-herzegovina,B,UEFA,65,1680,1.3,1.5,0,0.30,0.05,4,30.0,1,6,5,5,6,0.20
Qatar,qatar,B,AFC,95,1590,0.9,1.8,0,0.10,0.00,3,26.5,1,4,4,4,6,0.10
Switzerland,switzerland,B,UEFA,19,1860,1.5,0.9,0,0.40,0.05,6,28.5,12,6,7,7,7,0.25
Brazil,brazil,C,CONMEBOL,6,2020,2.0,1.0,0,0.40,0.10,9,26.0,22,7,7,7,10,0.30
Morocco,morocco,C,CAF,8,1890,1.4,0.8,0,0.50,0.05,6,27.5,6,8,9,8,8,0.20
Haiti,haiti,C,CONCACAF,102,1510,1.0,1.8,0,0.10,0.00,2,27.0,1,4,4,4,5,0.10
Scotland,scotland,C,UEFA,36,1760,1.4,1.3,0,0.30,0.05,5,28.0,8,6,6,5,7,0.25
USA,usa,D,CONCACAF,16,1820,1.5,1.2,1,0.40,0.00,6,25.5,11,6,6,5,8,0.20
Paraguay,paraguay,D,CONMEBOL,40,1740,1.3,1.3,0,0.30,0.00,5,27.5,9,5,6,6,6,0.20
Australia,australia,D,AFC,27,1760,1.3,1.3,0,0.30,0.10,5,27.5,5,5,6,6,7,0.25
Türkiye,turkey,D,UEFA,23,1800,1.5,1.2,0,0.30,0.05,5,26.5,3,6,6,6,7,0.25
Germany,germany,E,UEFA,10,2000,2.0,0.9,0,0.70,0.05,9,26.5,20,8,7,9,8,0.30
Curaçao,curacao,E,CONCACAF,82,1540,1.1,1.9,0,0.20,0.00,2,27.5,0,4,4,4,5,0.10
Ivory Coast,ivory-coast,E,CAF,34,1770,1.5,0.85,0,0.60,0.10,6,27.5,3,6,7,7,7,0.20
Ecuador,ecuador,E,CONMEBOL,23,1810,1.4,0.8,0,0.50,0.05,5,26.5,5,6,6,6,7,0.20
